1;9951;1;7
2;6054;1;87
3;2718;1;61
4;7911;1;91
5;5658;1;20
6;227;1;95
7;4177;1;100
8;806;1;68
9;8176;1;64
10;5145;1;55
11;2472;1;18
12;9607;1;63
13;855;1;73
14;1486;1;22
15;3527;1;50
16;3489;1;9
17;6445;1;3
18;6580;1;5
19;7635;1;77
20;4358;1;76
21;9950;1;94
22;4174;1;53
23;1933;1;13
24;5070;1;11
25;8461;1;12
26;248;1;37
27;658;1;63
28;2310;1;20
29;211;1;14
30;2740;1;70
31;6667;1;3
32;3253;1;44
33;7551;1;81
34;5532;1;26
35;195;1;44
36;7586;1;91
37;1104;1;17
38;9543;1;44
39;3318;1;84
40;9005;1;39
41;4795;1;99
42;6283;1;30
43;1118;1;48
44;2795;1;28
45;4006;1;26
46;1722;1;3
47;3007;1;83
48;8577;1;89
49;1569;1;27
50;823;1;28
51;195;1;64
52;9835;1;94
53;8829;1;83
54;5593;1;55
55;7777;1;1
56;4328;1;20
57;1501;1;7
58;1997;1;42
59;2425;1;85
60;1975;1;53
61;2555;1;86
62;3595;1;26
63;9136;1;96
64;9329;1;87
65;6840;1;44
66;2253;1;98
67;3049;1;50
68;2234;1;93
69;4691;1;33
70;8766;1;54
71;4770;1;87
72;763;1;45
73;4238;1;15
74;8770;1;69
75;214;1;10
76;3050;1;54
77;4635;1;14
78;1764;1;92
79;8418;1;18
80;7106;1;33
81;4953;1;58
82;3622;1;55
83;3310;1;6
84;2229;1;92
85;5952;1;11
86;5426;1;72
87;7915;1;36
88;4104;1;42
89;4457;1;96
90;3981;1;41
91;1964;1;70
92;195;1;51
93;2574;1;46
94;1864;1;85
95;6393;1;44
96;4536;1;94
97;6464;1;29
98;7356;1;1
99;701;1;26
100;3518;1;72
101;1904;2;40
102;7104;2;5
103;1648;2;63
104;6768;2;4
105;6368;2;61
106;6879;2;76
107;4269;2;34
108;9739;2;10
109;9840;2;19
110;8260;2;44
111;8676;2;58
112;7091;2;54
113;9102;2;5
114;1620;2;93
115;8631;2;16
116;8480;2;90
117;2711;2;28
118;8246;2;46
119;365;2;90
120;854;2;49
121;6401;2;15
122;6951;2;68
123;2615;2;34
124;3846;2;62
125;1127;2;92
126;3036;2;5
127;1359;2;23
128;7385;2;87
129;8488;2;94
130;9941;2;41
131;5231;2;48
132;3110;2;8
133;744;2;91
134;6451;2;38
135;78;2;51
136;3697;2;6
137;5168;2;39
138;4794;2;98
139;3654;2;24
140;6697;2;37
141;4943;2;79
142;7494;2;65
143;3910;2;99
144;1989;2;51
145;1344;2;55
146;3326;2;31
147;6870;2;30
148;4447;2;41
149;4422;2;12
150;5220;2;55
151;2561;2;23
152;5928;2;16
153;1931;2;4
154;5479;2;73
155;9982;2;70
156;3173;2;31
157;8701;2;24
158;6146;2;76
159;4573;2;94
160;731;2;7
161;1207;2;27
162;4879;2;79
163;4187;2;13
164;507;2;37
165;4547;2;15
166;9198;2;7
167;2004;2;82
168;2027;2;72
169;1558;2;3
170;4426;2;82
171;7411;2;61
172;34;2;95
173;6303;2;85
174;3205;2;62
175;8272;2;24
176;8509;2;65
177;6645;2;73
178;6926;2;94
179;613;2;10
180;2715;2;80
181;3142;2;72
182;1919;2;69
183;4163;2;86
184;3381;2;71
185;3989;2;10
186;5768;2;84
187;4748;2;48
188;9603;2;48
189;8228;2;51
190;1587;2;63
191;7005;2;12
192;9590;2;57
193;1963;2;51
194;627;2;89
195;3398;2;50
196;838;2;11
197;4792;2;27
198;6050;2;36
199;8006;2;78
