1;'Gateau1';303
2;'Gateau2';214
3;'Gateau3';333
4;'Gateau4';251
5;'Gateau5';295
6;'Gateau6';385
7;'Gateau7';357
8;'Gateau8';208
9;'Gateau9';343
10;'Gateau10';426
11;'Gateau11';271
12;'Gateau12';225
13;'Gateau13';568
14;'Gateau14';467
15;'Gateau15';455
16;'Gateau16';337
17;'Gateau17';590
18;'Gateau18';444
19;'Gateau19';544
20;'Gateau20';594
21;'Gateau21';443
22;'Gateau22';462
23;'Gateau23';315
24;'Gateau24';331
25;'Gateau25';542
26;'Gateau26';450
27;'Gateau27';268
28;'Gateau28';255
29;'Gateau29';261
30;'Gateau30';393
31;'Gateau31';351
32;'Gateau32';420
33;'Gateau33';317
34;'Gateau34';287
35;'Gateau35';518
36;'Gateau36';204
37;'Gateau37';328
38;'Gateau38';506
39;'Gateau39';372
40;'Gateau40';208
41;'Gateau41';309
42;'Gateau42';200
43;'Gateau43';481
44;'Gateau44';552
45;'Gateau45';331
46;'Gateau46';460
47;'Gateau47';455
48;'Gateau48';580
49;'Gateau49';512
50;'Gateau50';223
51;'Gateau51';336
52;'Gateau52';265
53;'Gateau53';289
54;'Gateau54';323
55;'Gateau55';470
56;'Gateau56';467
57;'Gateau57';380
58;'Gateau58';275
59;'Gateau59';228
60;'Gateau60';405
61;'Gateau61';563
62;'Gateau62';516
63;'Gateau63';278
64;'Gateau64';290
65;'Gateau65';581
66;'Gateau66';349
67;'Gateau67';432
68;'Gateau68';579
69;'Gateau69';517
70;'Gateau70';304
71;'Gateau71';356
72;'Gateau72';462
73;'Gateau73';499
74;'Gateau74';244
75;'Gateau75';283
76;'Gateau76';392
77;'Gateau77';351
78;'Gateau78';575
79;'Gateau79';250
80;'Gateau80';565
81;'Gateau81';246
82;'Gateau82';436
83;'Gateau83';354
84;'Gateau84';588
85;'Gateau85';305
86;'Gateau86';308
87;'Gateau87';429
88;'Gateau88';560
89;'Gateau89';436
90;'Gateau90';529
91;'Gateau91';472
92;'Gateau92';293
93;'Gateau93';344
94;'Gateau94';264
95;'Gateau95';330
96;'Gateau96';276
97;'Gateau97';286
98;'Gateau98';288
99;'Gateau99';245
100;'Gateau100';432
101;'Gateau101';338
102;'Gateau102';312
103;'Gateau103';362
104;'Gateau104';314
105;'Gateau105';296
106;'Gateau106';294
107;'Gateau107';492
108;'Gateau108';341
109;'Gateau109';435
110;'Gateau110';517
111;'Gateau111';484
112;'Gateau112';430
113;'Gateau113';269
114;'Gateau114';215
115;'Gateau115';450
116;'Gateau116';242
117;'Gateau117';238
118;'Gateau118';208
119;'Gateau119';489
120;'Gateau120';317
121;'Gateau121';326
122;'Gateau122';347
123;'Gateau123';551
124;'Gateau124';404
125;'Gateau125';301
126;'Gateau126';538
127;'Gateau127';438
128;'Gateau128';250
129;'Gateau129';280
130;'Gateau130';208
131;'Gateau131';238
132;'Gateau132';261
133;'Gateau133';341
134;'Gateau134';570
135;'Gateau135';565
136;'Gateau136';340
137;'Gateau137';417
138;'Gateau138';442
139;'Gateau139';423
140;'Gateau140';499
141;'Gateau141';281
142;'Gateau142';206
143;'Gateau143';495
144;'Gateau144';423
145;'Gateau145';449
146;'Gateau146';422
147;'Gateau147';244
148;'Gateau148';401
149;'Gateau149';330
150;'Gateau150';566
151;'Gateau151';499
152;'Gateau152';356
153;'Gateau153';300
154;'Gateau154';396
155;'Gateau155';330
156;'Gateau156';442
157;'Gateau157';405
158;'Gateau158';556
159;'Gateau159';427
160;'Gateau160';541
161;'Gateau161';467
162;'Gateau162';375
163;'Gateau163';435
164;'Gateau164';235
165;'Gateau165';508
166;'Gateau166';437
167;'Gateau167';450
168;'Gateau168';240
169;'Gateau169';237
170;'Gateau170';409
171;'Gateau171';241
172;'Gateau172';426
173;'Gateau173';564
174;'Gateau174';506
175;'Gateau175';235
176;'Gateau176';518
177;'Gateau177';498
178;'Gateau178';241
179;'Gateau179';595
180;'Gateau180';417
181;'Gateau181';320
182;'Gateau182';332
183;'Gateau183';502
184;'Gateau184';358
185;'Gateau185';411
186;'Gateau186';394
187;'Gateau187';588
188;'Gateau188';336
189;'Gateau189';429
190;'Gateau190';442
191;'Gateau191';579
192;'Gateau192';597
193;'Gateau193';498
194;'Gateau194';468
195;'Gateau195';328
196;'Gateau196';533
197;'Gateau197';314
198;'Gateau198';498
199;'Gateau199';501
200;'Gateau200';433
201;'Gateau201';407
202;'Gateau202';517
203;'Gateau203';213
204;'Gateau204';396
205;'Gateau205';515
206;'Gateau206';469
207;'Gateau207';280
208;'Gateau208';533
209;'Gateau209';509
210;'Gateau210';283
211;'Gateau211';383
212;'Gateau212';397
213;'Gateau213';554
214;'Gateau214';230
215;'Gateau215';272
216;'Gateau216';503
217;'Gateau217';588
218;'Gateau218';339
219;'Gateau219';520
220;'Gateau220';546
221;'Gateau221';586
222;'Gateau222';308
223;'Gateau223';293
224;'Gateau224';561
225;'Gateau225';571
226;'Gateau226';528
227;'Gateau227';301
228;'Gateau228';563
229;'Gateau229';479
230;'Gateau230';580
231;'Gateau231';394
232;'Gateau232';549
233;'Gateau233';375
234;'Gateau234';368
235;'Gateau235';462
236;'Gateau236';354
237;'Gateau237';410
238;'Gateau238';266
239;'Gateau239';346
240;'Gateau240';348
241;'Gateau241';409
242;'Gateau242';581
243;'Gateau243';580
244;'Gateau244';285
245;'Gateau245';396
246;'Gateau246';219
247;'Gateau247';557
248;'Gateau248';218
249;'Gateau249';406
250;'Gateau250';226
251;'Gateau251';538
252;'Gateau252';463
253;'Gateau253';258
254;'Gateau254';245
255;'Gateau255';455
256;'Gateau256';530
257;'Gateau257';328
258;'Gateau258';405
259;'Gateau259';362
260;'Gateau260';299
261;'Gateau261';434
262;'Gateau262';262
263;'Gateau263';481
264;'Gateau264';421
265;'Gateau265';409
266;'Gateau266';411
267;'Gateau267';417
